ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Predicted Deaths (yhat),Lower Bound (yhat_lower),Upper Bound (yhat_upper)
2020-03-10,4254.705563118145,537.1253678780738,6393.461056021427,4254.705563118145,4254.705563118145,-728.2893533214108,-728.2893533214108,-728.2893533214108,-728.2893533214108,-728.2893533214108,-728.2893533214108,0.0,0.0,0.0,3526.4162097967337,3526,537,6393
2020-03-11,4681.7195069669915,1158.9597089363112,7291.481857022407,4681.7195069669915,4681.7195069669915,-191.3747991058927,-191.3747991058927,-191.3747991058927,-191.3747991058927,-191.3747991058927,-191.3747991058927,0.0,0.0,0.0,4490.344707861099,4490,1158,7291
2020-03-12,5108.733450815839,2750.5699615541353,8235.099064523467,5108.733450815839,5108.733450815839,388.5869411483955,388.5869411483955,388.5869411483955,388.5869411483955,388.5869411483955,388.5869411483955,0.0,0.0,0.0,5497.320391964235,5497,2750,8235
2020-03-13,5535.747394664686,3581.473986040541,9538.9120945389,5535.747394664686,5535.747394664686,874.8016233776638,874.8016233776638,874.8016233776638,874.8016233776638,874.8016233776638,874.8016233776638,0.0,0.0,0.0,6410.549018042349,6410,3581,9538
2020-03-14,5962.761338513537,3595.8392579312326,9825.562081391388,5962.761338513537,5962.761338513537,727.2987974312745,727.2987974312745,727.2987974312745,727.2987974312745,727.2987974312745,727.2987974312745,0.0,0.0,0.0,6690.060135944812,6690,3595,9825
2020-03-15,6389.775282362385,3149.345567521738,9388.137311993753,6389.775282362385,6389.775282362385,-165.70172477161512,-165.70172477161512,-165.70172477161512,-165.70172477161512,-165.70172477161512,-165.70172477161512,0.0,0.0,0.0,6224.07355759077,6224,3149,9388
2020-03-16,6816.789226211232,2964.7860868530006,8864.256362661108,6816.789226211232,6816.789226211232,-905.3214847579501,-905.3214847579501,-905.3214847579501,-905.3214847579501,-905.3214847579501,-905.3214847579501,0.0,0.0,0.0,5911.467741453282,5911,2964,8864
2020-03-17,7998.9699237499235,4189.506535644103,10407.961366888936,7998.9699237499235,7998.9699237499235,-728.2893533210304,-728.2893533210304,-728.2893533210304,-728.2893533210304,-728.2893533210304,-728.2893533210304,0.0,0.0,0.0,7270.680570428893,7270,4189,10407
2020-03-18,9181.150621288605,5890.293967412108,11875.692725656645,9181.150621288605,9181.150621288605,-191.37479910537797,-191.37479910537797,-191.37479910537797,-191.37479910537797,-191.37479910537797,-191.37479910537797,0.0,0.0,0.0,8989.775822183226,8989,5890,11875
2020-03-19,10363.331318827297,7807.44683814894,13637.699916668707,10363.331318827297,10363.331318827297,388.5869411488903,388.5869411488903,388.5869411488903,388.5869411488903,388.5869411488903,388.5869411488903,0.0,0.0,0.0,10751.918259976188,10751,7807,13637
